Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,battingStyle,playingRole,Batting_Order,Range
Jonny Bairstow,33,35,4,1,94.30,Right hand Bat,Wicketkeeper Batter,1,1
Dawid Malan,14,24,2,0,58.30,Left hand Bat,Top order Batter,2,"1,2,3"
Joe Root,77,86,4,1,89.50,Right hand Bat,Top order Batter,3,"2,3,4"
Harry Brook,25,16,4,1,156.30,Right hand Bat,Batter,4,"3,4,5"
Moeen Ali,11,17,1,0,64.70,Left hand Bat,Batting Allrounder,5,"4,5,6"
Jos Buttler,43,42,2,2,102.40,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Liam Livingstone,20,22,3,0,90.90,Right hand Bat,Batting Allrounder,7,"6,7,8"
Sam Curran,14,19,0,0,73.70,Left hand Bat,Allrounder,8,"7,8,9"
Chris Woakes,11,12,1,0,91.70,Right hand Bat,Allrounder,9,"8,9,10"
Adil Rashid,15,13,0,1,115.40,Right hand Bat,Bowler,10,"9,10,11"
Mark Wood,13,14,0,0,92.90,Right hand Bat,Bowler,11,"10,11"
Devon Conway,152,121,19,3,125.60,Left hand Bat,Wicketkeeper Batter,1,1
Will Young,0,1,0,0,0.00,Right hand Bat,Top order Batter,2,"1,2,3"
Rachin Ravindra,123,96,11,5,128.10,Left hand Bat,Top order Batter,3,"2,3,4"
Fakhar Zaman,12,15,3,0,80.00,Left hand Bat,Opening Batter,1,1
Imam-ul-Haq,15,19,2,0,78.90,Left hand Bat,Top order Batter,2,"1,2,3"
Babar Azam,5,18,0,0,27.80,Right hand Bat,Top order Batter,3,"2,3,4"
Mohammad Rizwan,68,75,8,0,90.70,Right hand Bat,Wicketkeeper Batter,4,"3,4,5"
Saud Shakeel,68,52,9,1,130.80,Left hand Bat,Middle order Batter,5,"4,5,6"
Iftikhar Ahmed,9,11,1,0,81.80,Right hand Bat,Middle order Batter,6,"5,6,7"
Mohammad Nawaz,39,43,4,0,90.70,Left hand Bat,Allrounder,7,"6,7,8"
Shadab Khan,32,34,2,1,94.10,Right hand Bat,Allrounder,8,"7,8,9"
Hasan Ali,0,1,0,0,0.00,Right hand Bat,Bowler,9,"8,9,10"
Shaheen Afridi,13,12,2,0,108.30,Left hand Bat,Bowler,10,"9,10,11"
Haris Rauf,16,14,2,1,114.30,Right hand Bat,Bowler,11,"10,11"
Vikramjit Singh,52,67,4,1,77.60,Left hand Bat,Opening Batter,1,1
Max O'Dowd,5,12,1,0,41.70,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,17,21,3,0,81.00,Right hand Bat,Batting Allrounder,3,"2,3,4"
Bas de Leede,67,68,6,2,98.50,Right hand Bat,Batting Allrounder,4,"3,4,5"
Roelof van der Merwe,4,7,0,0,57.10,Right hand Bat,Allrounder,8,"7,8,9"
Logan van Beek,28,28,3,1,100.00,Right hand Bat,Bowler,9,"8,9,10"
Paul van Meekeren,7,12,1,0,58.30,Right hand Bat,Bowler,11,"10,11"
Rahmanullah Gurbaz,47,62,4,1,75.80,Right hand Bat,Wicketkeeper Batter,1,1
Ibrahim Zadran,22,25,3,1,88.00,Right hand Bat,Opening Batter,2,"1,2,3"
Rahmat Shah,18,25,1,0,72.00,Right hand Bat,Top order Batter,3,"2,3,4"
Hashmatullah Shahidi,18,38,2,0,47.40,Left hand Bat,Top order Batter,4,"3,4,5"
Najibullah Zadran,5,13,0,0,38.50,Left hand Bat,Middle order Batter,5,"4,5,6"
Mohammad Nabi,6,12,0,0,50.00,Right hand Bat,Allrounder,6,"5,6,7"
Azmatullah Omarzai,22,20,4,0,110.00,Right hand Bat,Allrounder,7,"6,7,8"
Rashid Khan,9,16,1,0,56.30,Right hand Bat,Bowling Allrounder,8,"7,8,9"
Mujeeb Ur Rahman,1,4,0,0,25.00,Right hand Bat,Bowler,9,"8,9,10"
Naveen-ul-Haq,0,6,0,0,0.00,Right hand Bat,Bowler,10,"9,10,11"
Fazalhaq Farooqi,0,3,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Tanzid Hasan,5,13,1,0,38.50,Left hand Bat,Top order Batter,1,1
Litton Das,13,18,2,0,72.20,Right hand Bat,Wicketkeeper Batter,2,"1,2,3"
Mehidy Hasan Miraz,57,73,5,0,78.10,Right hand Bat,Allrounder,3,"2,3,4"
Najmul Hossain Shanto,59,83,3,1,71.10,Left hand Bat,Top order Batter,4,"3,4,5"
Shakib Al Hasan,14,19,2,0,73.70,Left hand Bat,Allrounder,5,"4,5,6"
Mustafizur Rahman,2,3,0,0,66.70,Left hand Bat,Bowler,6,"5,6,7"
Quinton de Kock,100,84,12,3,119.00,Left hand Bat,Wicketkeeper Batter,1,1
Temba Bavuma,8,5,2,0,160.00,Right hand Bat,Top order Batter,2,"1,2,3"
Rassie van der Dussen,108,110,13,2,98.20,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,106,54,14,3,196.30,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,32,20,1,3,160.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,39,21,3,2,185.70,Left hand Bat,Middle order Batter,6,"5,6,7"
Marco Jansen,12,7,0,1,171.40,Left hand Bat,Allrounder,7,"6,7,8"
Pathum Nissanka,0,3,0,0,0.00,Right hand Bat,Top order Batter,1,1
Kusal Janith Perera,7,15,1,0,46.70,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,76,42,4,8,181.00,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,23,19,3,1,121.10,Right hand Bat,Top order Batter,4,"3,4,5"
Charith Asalanka,79,65,8,4,121.50,Left hand Bat,Batting Allrounder,5,"4,5,6"
Dhananjaya de Silva,11,14,1,0,78.60,Right hand Bat,Allrounder,6,"5,6,7"
Dasun Shanaka,68,62,6,3,109.70,Right hand Bat,Allrounder,7,"6,7,8"
Kasun Rajitha,33,31,4,1,106.50,Right hand Bat,Bowler,9,"8,9,10"
David Warner,41,52,6,0,78.80,Left hand Bat,Opening Batter,1,1
Mitchell Marsh,0,6,0,0,0.00,Right hand Bat,Allrounder,2,"1,2,3"
Steve Smith,46,71,5,0,64.80,Right hand Bat,Top order Batter,3,"2,3,4"
Marnus Labuschagne,27,41,1,0,65.90,Right hand Bat,Top order Batter,4,"3,4,5"
Glenn Maxwell,15,25,1,0,60.00,Right hand Bat,Batting Allrounder,5,"4,5,6"
Alex Carey,0,2,0,0,0.00,Left hand Bat,Wicketkeeper Batter,6,"5,6,7"
Cameron Green,8,20,0,0,40.00,Right hand Bat,Batting Allrounder,7,"6,7,8"
Pat Cummins,15,24,1,1,62.50,Right hand Bat,Bowler,8,"7,8,9"
Mitchell Starc,28,35,2,1,80.00,Left hand Bat,Bowler,9,"8,9,10"
Adam Zampa,6,20,0,0,30.00,Right hand Bat,Bowler,10,"9,10,11"
Josh Hazlewood,1,1,0,0,100.00,Left hand Bat,Bowler,11,"10,11"
Rohit Sharma,0,6,0,0,0.00,Right hand Bat,Top order Batter,1,1
Ishan Kishan,0,1,0,0,0.00,Left hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,85,116,6,0,73.30,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,0,3,0,0,0.00,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,97,115,8,2,84.30,Right hand Bat,Opening Batter,5,"4,5,6"
Hardik Pandya,11,8,0,1,137.50,Right hand Bat,Allrounder,6,"5,6,7"
Devon Conway,32,40,5,1,80.00,Left hand Bat,Wicketkeeper Batter,1,1
Will Young,70,80,7,2,87.50,Right hand Bat,Top order Batter,2,"1,2,3"
