Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
Jonny Bairstow,33,35,4,1,94.3,Wicketkeeper Batter,1
Dawid Malan,14,24,2,0,58.3,Top order Batter,"1,2,3"
Joe Root,77,86,4,1,89.5,Top order Batter,"2,3,4"
Harry Brook,25,16,4,1,156.3,Batter,"3,4,5"
Moeen Ali,11,17,1,0,64.7,Batting Allrounder,"4,5,6"
Jos Buttler,43,42,2,2,102.4,Wicketkeeper Batter,"5,6,7"
Liam Livingstone,20,22,3,0,90.9,Batting Allrounder,"6,7,8"
Sam Curran,14,19,0,0,73.7,Allrounder,"7,8,9"
Chris Woakes,11,12,1,0,91.7,Allrounder,"8,9,10"
Adil Rashid,15,13,0,1,115.4,Bowler,"9,10,11"
Mark Wood,13,14,0,0,92.9,Bowler,"10,11"
Devon Conway,152,121,19,3,125.6,Wicketkeeper Batter,1
Will Young,0,1,0,0,0,Top order Batter,"1,2,3"
Rachin Ravindra,123,96,11,5,128.1,Top order Batter,"2,3,4"
Fakhar Zaman,12,15,3,0,80,Opening Batter,1
Imam-ul-Haq,15,19,2,0,78.9,Top order Batter,"1,2,3"
Babar Azam,5,18,0,0,27.8,Top order Batter,"2,3,4"
Mohammad Rizwan,68,75,8,0,90.7,Wicketkeeper Batter,"3,4,5"
Saud Shakeel,68,52,9,1,130.8,Middle order Batter,"4,5,6"
Iftikhar Ahmed,9,11,1,0,81.8,Middle order Batter,"5,6,7"
Mohammad Nawaz,39,43,4,0,90.7,Allrounder,"6,7,8"
Shadab Khan,32,34,2,1,94.1,Allrounder,"7,8,9"
Hasan Ali,0,1,0,0,0,Bowler,"8,9,10"
Shaheen Afridi,13,12,2,0,108.3,Bowler,"9,10,11"
Haris Rauf,16,14,2,1,114.3,Bowler,"10,11"
Vikramjit Singh,52,67,4,1,77.6,Opening Batter,1
Max O'Dowd,5,12,1,0,41.7,Opening Batter,"1,2,3"
Colin Ackermann,17,21,3,0,81,Batting Allrounder,"2,3,4"
Bas de Leede,67,68,6,2,98.5,Batting Allrounder,"3,4,5"
Roelof van der Merwe,4,7,0,0,57.1,Allrounder,"7,8,9"
Logan van Beek,28,28,3,1,100,Bowler,"8,9,10"
Paul van Meekeren,7,12,1,0,58.3,Bowler,"10,11"
Rahmanullah Gurbaz,47,62,4,1,75.8,Wicketkeeper Batter,1
Ibrahim Zadran,22,25,3,1,88,Opening Batter,"1,2,3"
Rahmat Shah,18,25,1,0,72,Top order Batter,"2,3,4"
Hashmatullah Shahidi,18,38,2,0,47.4,Top order Batter,"3,4,5"
Najibullah Zadran,5,13,0,0,38.5,Middle order Batter,"4,5,6"
Mohammad Nabi,6,12,0,0,50,Allrounder,"5,6,7"
Azmatullah Omarzai,22,20,4,0,110,Allrounder,"6,7,8"
Rashid Khan,9,16,1,0,56.3,Bowling Allrounder,"7,8,9"
Mujeeb Ur Rahman,1,4,0,0,25,Bowler,"8,9,10"
Naveen-ul-Haq,0,6,0,0,0,Bowler,"9,10,11"
Fazalhaq Farooqi,0,3,0,0,0,Bowler,"10,11"
Tanzid Hasan,5,13,1,0,38.5,Top order Batter,1
Litton Das,13,18,2,0,72.2,Wicketkeeper Batter,"1,2,3"
Mehidy Hasan Miraz,57,73,5,0,78.1,Allrounder,"2,3,4"
Najmul Hossain Shanto,59,83,3,1,71.1,Top order Batter,"3,4,5"
Shakib Al Hasan,14,19,2,0,73.7,Allrounder,"4,5,6"
Mustafizur Rahman,2,3,0,0,66.7,Bowler,"5,6,7"
Quinton de Kock,100,84,12,3,119,Wicketkeeper Batter,1
Temba Bavuma,8,5,2,0,160,Top order Batter,"1,2,3"
Rassie van der Dussen,108,110,13,2,98.2,Top order Batter,"2,3,4"
Aiden Markram,106,54,14,3,196.3,Opening Batter,"3,4,5"
Heinrich Klaasen,32,20,1,3,160,Wicketkeeper Batter,"4,5,6"
David Miller,39,21,3,2,185.7,Middle order Batter,"5,6,7"
Marco Jansen,12,7,0,1,171.4,Allrounder,"6,7,8"
Pathum Nissanka,0,3,0,0,0,Top order Batter,1
Kusal Janith Perera,7,15,1,0,46.7,Top order Batter,"1,2,3"
