Match_no,Match_Between,Bowling_Team,Bowler_Name,Overs,Maidens,Runs,Wickets,Economy
1,England vs New Zealand,New Zealand,Trent Boult,10.0,1,48,1,4.800
1,England vs New Zealand,New Zealand,Matt Henry,10.0,1,48,3,4.800
1,England vs New Zealand,New Zealand,Mitchell Santner,10.0,0,37,2,3.700
1,England vs New Zealand,New Zealand,Jimmy Neesham,7.0,0,56,0,8.000
1,England vs New Zealand,New Zealand,Rachin Ravindra,10.0,0,76,1,7.600
1,England vs New Zealand,New Zealand,Glenn Phillips,3.0,0,17,2,5.670
1,England vs New Zealand,England,Chris Woakes,6.0,0,45,0,7.500
1,England vs New Zealand,England,Sam Curran,6.0,2,47,1,7.833
1,England vs New Zealand,England,Mark Wood,5.0,0,55,0,11.000
1,England vs New Zealand,England,Moeen Ali,9.2,0,60,0,6.429
1,England vs New Zealand,England,Adil Rashid,7.0,0,47,0,6.714
1,England vs New Zealand,England,Liam Livingstone,3.0,0,24,0,8.000
2,Pakistan vs Netherlands,Netherlands,Aryan Dutt,10.0,0,48,1,4.800
2,Pakistan vs Netherlands,Netherlands,Logan van Beek,6.0,0,30,1,5.000
2,Pakistan vs Netherlands,Netherlands,Colin Ackermann,8.0,1,39,2,4.880
2,Pakistan vs Netherlands,Netherlands,Paul van Meekeren,6.0,0,40,1,6.670
2,Pakistan vs Netherlands,Netherlands,Bas de Leede,9.0,0,62,4,6.890
2,Pakistan vs Netherlands,Netherlands,Roelof van der Merwe,6.0,0,36,0,6.000
2,Pakistan vs Netherlands,Netherlands,Vikramjit Singh,2.0,0,16,0,8.000
2,Pakistan vs Netherlands,Netherlands,Saqib Zulfiqar,2.0,0,15,0,7.500
2,Pakistan vs Netherlands,Pakistan,Shaheen Afridi,7.0,0,37,1,5.286
2,Pakistan vs Netherlands,Pakistan,Hasan Ali,7.0,1,33,2,4.714
2,Pakistan vs Netherlands,Pakistan,Haris Rauf,9.0,0,43,3,4.778
2,Pakistan vs Netherlands,Pakistan,Iftikhar Ahmed,3.0,0,16,1,5.333
2,Pakistan vs Netherlands,Pakistan,Mohammad Nawaz,7.0,0,31,1,4.429
2,Pakistan vs Netherlands,Pakistan,Shadab Khan,8.0,0,45,1,5.625
3,Afghanistan vs Bangladesh,Bangladesh,Taskin Ahmed,6.0,0,32,1,5.330
3,Afghanistan vs Bangladesh,Bangladesh,Shoriful Islam,6.2,1,34,2,5.370
3,Afghanistan vs Bangladesh,Bangladesh,Mustafizur Rahman,7.0,1,28,1,4.000
3,Afghanistan vs Bangladesh,Bangladesh,Shakib Al Hasan,8.0,0,30,3,3.750
3,Afghanistan vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,9.0,3,25,3,2.780
3,Afghanistan vs Bangladesh,Bangladesh,Mahmudullah,1.0,0,7,0,7.000
